model_name,version_name,exterior_colour,interior_colour,vin,plate_number,plate_registration_date,km,battery,usage_update_date,key_1,key_2,current_location,model_information
ATTO 3 2025,Design-LHD,Surfing Blue,Black,LGXCE4CB5R2169163,HC-070-FC,2025-02-28,,,,Bureau FR,LSQ,LSQ,34ec215d-d84c-457a-819b-1357112a3e25
ATTO 3 2025,Design-LHD,Space Black,Black,LGXCE4CB7S2035647,HC-080-FC,2025-02-28,,,,Bureau FR,Bureau FR,Colombes,6fd74476-9bd6-4cfc-b2e7-a085b391fee9
ATTO 3 2025,Design-LHD,Surfing Blue,Black,LGXCE4CB5R2169325,HC-103-FC,2025-02-28,,,,Bureau FR,Bureau FR,Colombes,34ec215d-d84c-457a-819b-1357112a3e25
DOLPHIN,Design,Surfing Blue + Urban Grey,Blue&Grey,LC0CE4CB0P0322401,GR-765-SG,2023-10-09,11885.0,36.0,2025-08-29,Bureau FR,Bureau FR,Bureau FR,9b1f6693-2a29-4fa8-b014-c8f96ed9f482
DOLPHIN,Design,Jet Black + Atlantis grey,Black&Grey,LC0CE4CB1P0322293,GR-824-SG,2023-10-09,8804.0,95.0,2025-07-23,Bureau FR,Bureau FR,Colombes,b674939e-46d1-4b7f-aac7-0b4a18947e2f
DOLPHIN,Comfort,Cream White,Black&Grey,LC0CE4CB7P0512261,GT-324-ZN,2024-02-05,15.0,,2024-04-25,Bureau FR,BMS,BMS,256e9a2b-ab2d-4db4-a8a7-b863651a5993
DOLPHIN,,Surfing Blue + Urban Grey,,LC0CE4CB0P0433322,HF-847-GK,2028-08-25,,,,Bureau FR,Bureau FR,Colombes,20bcb66f-5576-40d8-ac54-d1b10106e9cb
DOLPHIN,Design,Skiing White + Urban Grey,Black&Grey,LC0CE4CB0P0462433,GT-305-ZN,2024-02-05,3466.0,96.0,2025-07-23,Bureau FR,Bureau FR,Colombes,88c283c7-210d-42d7-8594-49bc950c3823
DOLPHIN,Design,Skiing white + Urban grey,Blue&Grey,LC0CE4CB0P0512246,GT-332-ZN,2024-02-05,5240.0,71.0,2025-07-23,Bureau FR,Bureau FR,Colombes,4d8b08be-4939-454b-9609-16749c914a45
Dolphin Surf,Comfort,Jaune,,LGXCE4CBOS2097312,HD-042-MS,2025-05-14,1910.0,20.0,2025-08-29,LSQ,Bureau FR,Colombes,9d72013b-4f0b-433e-87ca-680c705795d6
